02:02:07.604 [restartedMain] INFO  c.m.journalApp.JournalAppApplication - Starting JournalAppApplication using Java 21.0.4 with PID 7048 (C:\Users\swapn\Downloads\journalApp\journalApp\target\classes started by swapn in C:\Users\swapn\Downloads\journalApp\journalApp)
02:03:14.645 [restartedMain] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.2.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/21.0.4+8-LTS-274"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='mokalaniket29', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@4298b8c7, com.mongodb.Jep395RecordCodecProvider@1657dff9, com.mongodb.KotlinCodecProvider@608c1bf5]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.boxzzom.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-c39jqz-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
02:03:14.662 [cluster-ClusterId{value='680e948a202c4a0f81ea052d', description='Cluster0'}-srv-cluster0.boxzzom.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-3nvaoyo-shard-00-01.boxzzom.mongodb.net:27017 to client view of cluster
02:03:14.736 [cluster-ClusterId{value='680e948a202c4a0f81ea052d', description='Cluster0'}-srv-cluster0.boxzzom.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-3nvaoyo-shard-00-02.boxzzom.mongodb.net:27017 to client view of cluster
02:03:15.121 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
02:03:15.447 [cluster-ClusterId{value='680e948a202c4a0f81ea052d', description='Cluster0'}-ac-3nvaoyo-shard-00-02.boxzzom.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-3nvaoyo-shard-00-02.boxzzom.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=383950800, minRoundTripTimeNanos=0, setName='atlas-c39jqz-shard-0', canonicalAddress=ac-3nvaoyo-shard-00-02.boxzzom.mongodb.net:27017, hosts=[ac-3nvaoyo-shard-00-00.boxzzom.mongodb.net:27017, ac-3nvaoyo-shard-00-02.boxzzom.mongodb.net:27017, ac-3nvaoyo-shard-00-01.boxzzom.mongodb.net:27017], passives=[], arbiters=[], primary='ac-3nvaoyo-shard-00-02.boxzzom.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000344, setVersion=249, topologyVersion=TopologyVersion{processId=680c0161fe0c33dbf324e2ee, counter=6}, lastWriteDate=Mon Apr 28 02:02:59 IST 2025, lastUpdateTimeNanos=8895257507300}
02:03:15.449 [cluster-ClusterId{value='680e948a202c4a0f81ea052d', description='Cluster0'}-ac-3nvaoyo-shard-00-01.boxzzom.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-3nvaoyo-shard-00-01.boxzzom.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=382667800, minRoundTripTimeNanos=0, setName='atlas-c39jqz-shard-0', canonicalAddress=ac-3nvaoyo-shard-00-01.boxzzom.mongodb.net:27017, hosts=[ac-3nvaoyo-shard-00-00.boxzzom.mongodb.net:27017, ac-3nvaoyo-shard-00-02.boxzzom.mongodb.net:27017, ac-3nvaoyo-shard-00-01.boxzzom.mongodb.net:27017], passives=[], arbiters=[], primary='ac-3nvaoyo-shard-00-02.boxzzom.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=249, topologyVersion=TopologyVersion{processId=680c03a42cde26c64191fc0c, counter=3}, lastWriteDate=Mon Apr 28 02:02:59 IST 2025, lastUpdateTimeNanos=8895256361600}
02:03:15.453 [cluster-ClusterId{value='680e948a202c4a0f81ea052d', description='Cluster0'}-ac-3nvaoyo-shard-00-02.boxzzom.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-3nvaoyo-shard-00-02.boxzzom.mongodb.net:27017 with max election id 7fffffff0000000000000344 and max set version 249
02:03:15.456 [cluster-ClusterId{value='680e948a202c4a0f81ea052d', description='Cluster0'}-ac-3nvaoyo-shard-00-00.boxzzom.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-3nvaoyo-shard-00-00.boxzzom.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=396918500, minRoundTripTimeNanos=0, setName='atlas-c39jqz-shard-0', canonicalAddress=ac-3nvaoyo-shard-00-00.boxzzom.mongodb.net:27017, hosts=[ac-3nvaoyo-shard-00-00.boxzzom.mongodb.net:27017, ac-3nvaoyo-shard-00-02.boxzzom.mongodb.net:27017, ac-3nvaoyo-shard-00-01.boxzzom.mongodb.net:27017], passives=[], arbiters=[], primary='ac-3nvaoyo-shard-00-02.boxzzom.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=249, topologyVersion=TopologyVersion{processId=680c02547a8fa69522a318cc, counter=4}, lastWriteDate=Mon Apr 28 02:02:59 IST 2025, lastUpdateTimeNanos=8895270632000}
02:03:15.492 [restartedMain] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29970 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-3nvaoyo-shard-00-01.boxzzom.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-3nvaoyo-shard-00-00.boxzzom.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-3nvaoyo-shard-00-02.boxzzom.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
02:03:16.105 [restartedMain] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
02:03:16.106 [restartedMain] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
02:03:16.932 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
02:03:16.951 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/home'
02:03:16.964 [restartedMain] INFO  c.m.journalApp.JournalAppApplication - Started JournalAppApplication in 6.169 seconds (process running for 7.182)
02:07:37.070 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
02:07:37.080 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
